"Table 2a: Publicly available electric vehicle charging devices at all speeds by local authority per 100,000 population, from October 2019 [Note 1, 2, 3, 5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This worksheet contains 1 table. Some cells refer to notes which can be found on the notes worksheet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Local authority / region code 
[Note 5]",Local authority / region name,Oct-19,Jan-20,Apr-20,Jul-20,Oct-20,Jan-21,Apr-21,Jul-21,Oct-21,Jan-22,Apr-22,Jul-22,Oct-22,Jan-23,Apr-23,Jul-23,Oct-23,Jan-24,Apr-24,Jul-24,Oct-24 [Note 14],Jan-25,Apr-25,Jul-25,Oct-25,Jan-26  [Note 16],Apr-26,,
K02000001,United Kingdom,22.8,24.8,27.0,27.3,29.2,31.1,34.1,36.3,38.7,42.3,45.2,47.7,51.6,55.3,59.9,65.7,73.4,80.1,89.0,95.6,103.6,108.5,113.2,121.3,127.3,126.7,133.0,,
K03000001,Great Britain,23.0,25.1,27.3,27.7,29.5,31.5,34.6,36.9,39.3,43.0,45.9,48.6,52.6,56.3,61.1,66.9,74.9,81.7,90.8,97.5,105.7,110.6,115.5,123.8,129.8,129.3,135.7,,
E92000001,England,22.4,24.5,26.8,27.3,29.2,31.0,34.2,36.4,38.8,42.7,45.8,48.6,52.7,55.7,60.5,66.7,75.2,82.0,91.1,97.4,105.7,111.0,115.4,123.8,129.8,129.3,135.1,,
E12000001,North East,27.8,28.3,29.6,30.4,31.8,30.7,32.0,33.1,34.2,36.4,37.7,43.1,42.6,47.3,52.6,62.6,58.0,60.3,73.4,71.5,85.5,96.3,95.2,100.7,100.6,99.0,106.9,,
E06000047,County Durham,17.5,18.2,19.4,19.8,20.0,20.8,22.8,21.8,23.3,24.0,27.9,32.6,38.6,43.9,46.0,49.7,51.4,55.8,59.3,59.3,68.0,75.7,87.5,91.3,91.3,90.9,97.2,,
E06000005,Darlington,25.3,25.3,26.3,26.2,27.2,27.2,27.2,28.9,28.9,27.9,28.9,45.6,50.3,62.8,67.5,73.9,73.9,80.4,98.9,94.1,98.7,86.8,92.3,100.5,103.2,88.0,88.9,,
E06000001,Hartlepool,5.4,5.4,6.4,6.4,6.4,8.5,9.6,10.7,11.7,13.9,12.8,11.7,8.5,25.9,29.2,29.2,29.2,34.6,40.0,40.5,35.2,36.2,40.5,52.2,52.2,48.9,55.0,,
E06000002,Middlesbrough,17.8,19.2,20.6,20.6,20.6,21.3,21.3,21.2,21.2,22.6,24.1,26.9,23.4,35.5,40.4,43.8,43.1,44.5,40.4,35.1,46.5,49.2,54.0,59.3,63.4,63.4,64.7,,
E06000057,Northumberland,43.4,43.1,46.5,47.1,50.2,46.2,47.5,53.1,57.4,60.8,61.1,69.8,67.9,78.1,82.1,87.1,86.1,88.0,120.4,118.1,159.7,171.7,183.7,190.2,188.4,173.8,179.2,,
E06000003,Redcar and Cleveland,12.4,12.4,14.6,14.6,17.5,17.5,19.0,23.3,24.8,26.2,26.2,29.1,32.8,27.1,42.5,44.7,52.0,49.8,50.5,43.0,51.0,52.5,48.8,57.6,61.2,62.5,63.2,,
E06000004,Stockton-on-Tees,36.0,37.0,38.5,43.1,43.6,42.6,43.6,43.6,43.1,48.1,49.1,51.7,51.2,54.3,63.4,82.2,58.4,55.8,59.4,55.5,63.0,66.0,64.0,93.0,77.5,76.9,88.5,,
E11000007,Tyne and Wear (Metropolitan County),31.9,32.5,33.1,33.9,35.7,33.8,35.0,35.8,36.2,38.7,39.6,44.9,41.4,43.2,48.6,64.4,56.5,58.7,76.2,75.3,88.6,106.8,94.7,95.6,97.2,99.9,110.9,,
E08000037,Gateshead,29.6,30.1,32.6,33.2,34.6,30.7,30.2,31.2,32.7,31.7,37.6,38.1,34.7,37.2,60.2,105.0,82.1,91.3,100.4,101.2,105.7,107.7,110.3,116.8,146.7,133.7,137.1,,
E08000021,Newcastle upon Tyne,35.3,36.3,35.6,36.0,38.3,37.3,39.3,41.1,40.4,41.1,41.4,45.0,47.6,51.0,51.6,50.6,43.6,43.9,68.4,69.3,99.8,92.0,88.1,83.2,90.1,96.1,103.9,,
E08000022,North Tyneside,18.4,16.5,19.4,20.2,23.1,22.6,22.1,21.5,22.5,25.4,25.9,36.9,25.4,23.4,23.9,28.2,30.6,35.4,36.3,34.2,38.5,42.3,41.8,40.9,45.6,40.0,50.7,,
E08000023,South Tyneside,20.0,18.6,18.6,18.5,18.5,17.9,18.5,19.9,19.9,27.8,28.5,35.1,33.7,33.8,37.2,42.6,29.1,25.0,29.7,27.6,40.4,80.7,98.9,111.7,88.8,101.7,113.6,,
E08000024,Sunderland,46.1,49.4,48.7,50.8,52.2,49.3,52.6,52.5,53.3,57.2,55.4,61.2,55.8,59.1,62.0,89.7,86.8,87.5,122.9,120.4,128.0,185.7,128.7,127.3,113.6,124.0,143.8,,
E12000002,North West,16.5,17.5,19.4,20.1,19.1,19.2,20.6,22.0,23.4,24.5,25.6,27.2,29.7,31.2,33.3,39.5,42.5,48.9,53.3,59.5,63.8,66.1,68.6,75.4,78.1,75.9,80.4,,
E06000008,Blackburn with Darwen,9.4,12.1,13.4,16.0,20.0,20.0,18.0,20.0,20.7,21.3,22.0,26.0,30.7,27.8,29.7,29.0,29.0,28.4,36.8,31.5,34.7,37.9,36.0,38.5,43.0,41.2,41.8,,
E06000009,Blackpool,9.3,10.8,10.8,12.2,13.6,14.3,15.8,15.9,17.3,15.9,16.6,17.3,21.7,21.3,21.3,22.0,27.7,34.1,35.5,31.8,58.6,70.6,65.0,64.3,69.9,74.9,79.8,,
E06000049,Cheshire East,15.5,17.1,18.1,18.5,19.3,19.5,22.6,26.4,29.0,31.6,33.4,33.4,36.2,36.7,38.2,38.4,37.5,40.9,44.9,50.2,52.4,59.0,63.5,78.0,80.4,76.4,79.0,,
E06000050,Cheshire West and Chester,11.7,11.7,14.1,14.3,16.0,16.6,20.1,24.1,28.8,29.4,30.0,30.5,33.7,31.9,31.9,37.2,37.5,55.6,58.1,60.8,63.0,65.5,66.1,72.2,77.7,70.2,70.2,,
E06000063,Cumberland (from April 2023),[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],66.8,69.0,76.3,89.5,92.6,107.1,100.2,111.5,118.4,118.7,117.3,123.7,,
E06000006,Halton,6.2,7.8,8.6,10.8,9.3,9.3,9.3,13.1,13.1,13.1,28.5,29.3,39.3,38.1,40.4,41.2,41.2,45.9,43.6,43.4,48.1,44.2,43.4,44.2,51.2,51.7,55.5,,
E06000007,Warrington,31.5,31.5,39.1,39.5,39.0,40.5,41.4,42.0,42.5,42.5,47.3,48.2,53.0,54.0,58.7,61.1,60.1,59.2,63.4,101.6,75.6,77.0,79.9,95.0,111.1,109.6,124.4,,
E06000064,Westmorland and Furness (from April 2023),[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],128.6,126.9,132.2,134.8,175.7,205.1,209.1,223.2,240.3,254.4,243.3,220.3,,
E10000006,Cumbria (abolished April 2023),30.1,32.7,35.9,36.6,38.2,39.6,42.0,45.0,47.4,50.2,55.4,63.0,73.0,76.1,80.9,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
E07000026,Allerdale (abolished April 2023),17.4,17.4,18.5,18.4,18.4,20.5,20.5,19.4,19.4,22.5,22.5,31.7,36.8,40.5,48.8,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
E07000027,Barrow-in-Furness (abolished April 2023),0.0,0.0,3.0,3.0,4.5,4.5,10.4,12.0,13.5,22.5,22.5,22.5,25.5,25.2,35.6,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
E07000028,Carlisle (abolished April 2023),24.0,25.8,28.6,30.4,32.2,35.9,37.7,46.1,45.2,47.0,55.3,64.5,83.9,82.5,78.9,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
E07000029,Copeland (abolished April 2023),30.7,30.7,32.2,32.3,32.3,32.3,35.2,41.2,41.2,41.2,41.2,42.6,44.1,44.7,44.7,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
E07000030,Eden (abolished April 2023),54.8,58.6,64.3,67.6,71.4,69.5,73.2,72.6,83.7,87.4,91.2,89.3,96.7,96.4,103.7,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
E07000031,South Lakeland (abolished April 2023),54.5,63.1,68.9,68.5,71.4,73.3,75.2,77.2,82.9,83.9,98.2,116.3,132.5,144.3,152.9,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
E11000001,Greater Manchester (Metropolitan County),15.9,16.5,18.0,17.9,14.5,13.9,14.5,14.9,15.7,16.6,16.2,17.8,18.3,21.6,21.9,26.5,27.1,36.1,40.8,48.0,50.8,51.0,53.8,60.7,63.4,59.9,63.5,,
E08000001,Bolton,9.1,9.8,10.9,10.8,8.3,6.3,7.3,8.3,8.3,8.3,9.0,9.0,9.4,11.8,10.1,12.2,15.2,15.5,25.7,24.4,30.8,24.1,32.5,34.5,43.2,34.5,35.8,,
E08000002,Bury,10.5,10.5,12.6,12.6,8.9,8.9,8.9,8.9,11.5,12.1,11.5,12.1,13.6,20.6,15.0,14.4,13.9,23.2,27.3,30.3,28.3,28.3,27.7,26.2,36.0,33.2,35.2,,
E08000003,Manchester,21.7,23.6,23.9,24.6,19.0,17.5,18.3,19.3,20.2,22.0,20.2,22.1,21.6,28.7,28.2,34.2,32.7,56.7,63.3,75.0,73.5,74.5,74.0,94.2,96.5,82.9,85.0,,
